dataset,embedding,classifier,task,task_group,mode,metric,mean,ci_low,ci_high,fold_sd,draw_sd,delta_vs_per_radiograph_pp,n_radiographs,n_patients
mimic,cxr-foundation,logistic_regression,race-bin,demographic,per_radiograph,accuracy,0.8084639736608839,0.8079343373858744,0.8089936099358933,0.0007403804598456492,,0.0,39485,9238
mimic,cxr-foundation,logistic_regression,race-bin,demographic,per_radiograph,precision,0.7811407615182483,0.780378022910511,0.7819035001259856,0.001066235051835426,,0.0,39485,9238
mimic,cxr-foundation,logistic_regression,race-bin,demographic,per_radiograph,recall,0.7379729241420272,0.7371436640021174,0.738802184281937,0.001159225741679388,,0.0,39485,9238
mimic,cxr-foundation,logistic_regression,race-bin,demographic,per_radiograph,f1,0.7532677792754214,0.7524951959641653,0.7540403625866776,0.0010799969984057545,,0.0,39485,9238
mimic,cxr-foundation,logistic_regression,race-bin,demographic,per_radiograph,roc,0.8355291116951105,0.8351480729965515,0.8359101503936694,0.0005326553715624052,,0.0,39485,9238
mimic,cxr-foundation,logistic_regression,race-bin,demographic,one_per_patient,accuracy,0.8114292595799958,0.8106898869256505,0.8121686322343411,0.0010335717012807703,0.0019030091848322866,0.29652859191119374,39485,9238
mimic,cxr-foundation,logistic_regression,race-bin,demographic,one_per_patient,precision,0.7871053112654537,0.7862144688619501,0.7879961536689573,0.0012453118101555139,0.0023573908713109323,0.5964549747205394,39485,9238
mimic,cxr-foundation,logistic_regression,race-bin,demographic,one_per_patient,recall,0.7701057509742884,0.7691680422369351,0.7710434597116416,0.0013108264273449638,0.0022834271495404956,3.213282683226115,39485,9238
mimic,cxr-foundation,logistic_regression,race-bin,demographic,one_per_patient,f1,0.7773415051430967,0.7764345750772101,0.7782484352089833,0.001267800811447528,0.0022605354725647427,2.407372586767531,39485,9238
mimic,cxr-foundation,logistic_regression,race-bin,demographic,one_per_patient,roc,0.8553038536338947,0.8549242281901417,0.8556834790776477,0.0005306797775700146,0.0018232661404584142,1.9774741938784257,39485,9238
mimic,cxr-foundation,logistic_regression,race-bin,demographic,patient_balanced,accuracy,0.8113959937516281,0.8106524653321531,0.8121395221711031,0.0010393810603501652,,0.2932020090744225,39485,9238
mimic,cxr-foundation,logistic_regression,race-bin,demographic,patient_balanced,precision,0.787070561729547,0.7861736027983385,0.7879675206607556,0.001253862126303703,,0.5929800211298741,39485,9238
mimic,cxr-foundation,logistic_regression,race-bin,demographic,patient_balanced,recall,0.7700321229908165,0.7690899314777317,0.7709743145039012,0.0013170929157146185,,3.205919884878927,39485,9238
mimic,cxr-foundation,logistic_regression,race-bin,demographic,patient_balanced,f1,0.7772860794932563,0.7763746159464157,0.778197543040097,0.0012741381808306774,,2.401830021783491,39485,9238
mimic,cxr-foundation,logistic_regression,race-bin,demographic,patient_balanced,roc,0.8551594524580663,0.8547763036519846,0.855542601264148,0.0005356050984820583,,1.963034076295589,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,per_radiograph,accuracy,0.7282005824996834,0.7279233113518141,0.7284778536475528,0.0003875983380439678,,0.0,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,per_radiograph,precision,0.7473778543701183,0.7466114111034471,0.7481442976367895,0.0010714138079261097,,0.0,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,per_radiograph,recall,0.5537925519416318,0.5531517481586176,0.554433355724646,0.0008957819203952895,,0.0,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,per_radiograph,f1,0.5241317899399968,0.5229450830636285,0.525318496816365,0.001658901824297936,,0.0,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,per_radiograph,roc,0.7152682358527158,0.7145008177908067,0.716035653914625,0.001072776477706407,,0.0,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,one_per_patient,accuracy,0.7250034098289674,0.7244404765161113,0.7255663431418234,0.0007869265091923301,0.0010003618713834194,-0.3197172670716064,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,one_per_patient,precision,0.7293135554761052,0.7282279579463965,0.7303991530058139,0.001517560703784362,0.0025964494145843562,-1.8064298894013064,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,one_per_patient,recall,0.592772706410622,0.5916250410158542,0.5939203718053897,0.0016043255963009927,0.0013712377636725624,3.898015446899017,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,one_per_patient,f1,0.584539098349267,0.5827844284284337,0.5862937682701003,0.0024528594134546,0.0019347101889338276,6.040730840927022,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,one_per_patient,roc,0.7313298153713224,0.7308002632649386,0.7318593674777061,0.0007402628002200865,0.0019859070014966126,1.606157951860654,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,patient_balanced,accuracy,0.724956433666603,0.7243883781042787,0.7255244892289273,0.0007940869202058563,,-0.324414883308044,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,patient_balanced,precision,0.7292877471639818,0.728204539540588,0.7303709547873757,0.0015142198451238062,,-1.8090107206136463,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,patient_balanced,recall,0.5926764441291424,0.5915273799444356,0.5938255083138493,0.0016062809698038588,,3.888389218751065,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,patient_balanced,f1,0.5843966078060268,0.5826414718856078,0.5861517437264457,0.0024535108359568457,,6.026481786603,39485,9238
mimic,cxr-foundation,random_forest,race-bin,demographic,patient_balanced,roc,0.7312423239941044,0.7307115231467278,0.7317731248414809,0.000742008419759627,,1.5974088141388565,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,per_radiograph,accuracy,0.7702671900721793,0.769669353588392,0.7708650265559666,0.00083571777777315,,0.0,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,per_radiograph,precision,0.7323632555204107,0.7313181647109999,0.7334083463298215,0.0014609362133254987,,0.0,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,per_radiograph,recall,0.6779866507322453,0.677148765038127,0.6788245364263635,0.0011712834350296913,,0.0,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,per_radiograph,f1,0.692679283356754,0.691821031688971,0.693537535024537,0.0011997531030992297,,0.0,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,per_radiograph,roc,0.7800809469455543,0.7788234425676916,0.781338451323417,0.0017578699070854452,,0.0,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,one_per_patient,accuracy,0.768968770296601,0.7678251143201654,0.7701124262730367,0.0015987208159478593,0.001333986382436216,-0.1298419775578208,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,one_per_patient,precision,0.7372160800241142,0.7356505815764756,0.7387815784717529,0.0021884159285158393,0.0017311084346194536,0.4852824503703501,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,one_per_patient,recall,0.7118293310771657,0.7106127638571509,0.7130458982971806,0.0017006437064224077,0.001576771160886177,3.384268034492044,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,one_per_patient,f1,0.7210306198164789,0.7197633172857519,0.7222979223472058,0.0017715667803277087,0.0016220892650556883,2.8351336459724874,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,one_per_patient,roc,0.799990896858896,0.7986893651689561,0.801292428548836,0.001819415845495738,0.0016244485580493666,1.9909949913341718,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,patient_balanced,accuracy,0.7688107431324294,0.7676562478437885,0.7699652384210702,0.0016138731295895262,,-0.14564469397498891,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,patient_balanced,precision,0.7370068757147586,0.7354321857730151,0.7385815656565022,0.0022012647512894327,,0.46436201943479416,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,patient_balanced,recall,0.7116457805842504,0.7103908123704197,0.7129007487980812,0.0017543245942343564,,3.3659129852005143,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,patient_balanced,f1,0.7208402546181804,0.7195435652080575,0.7221369440283032,0.0018126468050676456,,2.816097126142636,39485,9238
mimic,cxr-foundation,xgboost,race-bin,demographic,patient_balanced,roc,0.7997273850228025,0.7984021716114647,0.8010525984341403,0.0018525206092850522,,1.9646438077248196,39485,9238
mimic,cxr-foundation,mlp,race-bin,demographic,per_radiograph,accuracy,0.8166696213752058,0.8151419467619476,0.818197295988464,0.0021355418539611495,,0.0,39485,9238
mimic,cxr-foundation,mlp,race-bin,demographic,per_radiograph,precision,0.8017375758495289,0.7980545856543146,0.8054205660447431,0.005148465282690955,,0.0,39485,9238
mimic,cxr-foundation,mlp,race-bin,demographic,per_radiograph,recall,0.7369481772545324,0.7322863042466845,0.7416100502623804,0.0065168490984329796,,0.0,39485,9238
mimic,cxr-foundation,mlp,race-bin,demographic,per_radiograph,f1,0.7569702024623048,0.7533410165327507,0.760599388391859,0.0050732521055906745,,0.0,39485,9238
